version,entity_name,entity_kind,attributes
9.1,pg_stat_bgwriter,View,"{""(checkpoints_timed,bigint)"",""(checkpoints_req,bigint)"",""(buffers_checkpoint,bigint)"",""(buffers_clean,bigint)"",""(maxwritten_clean,bigint)"",""(buffers_backend,bigint)"",""(buffers_backend_fsync,bigint)"",""(buffers_alloc,bigint)"",""(stats_reset,\""timestamp with time zone\"")""}"
9.1,pg_stat_database,View,"{""(datid,oid)"",""(datname,name)"",""(numbackends,integer)"",""(xact_commit,bigint)"",""(xact_rollback,bigint)"",""(blks_read,bigint)"",""(blks_hit,bigint)"",""(tup_returned,bigint)"",""(tup_fetched,bigint)"",""(tup_inserted,bigint)"",""(tup_updated,bigint)"",""(tup_deleted,bigint)"",""(conflicts,bigint)"",""(stats_reset,\""timestamp with time zone\"")""}"
9.1,pg_stat_database_conflicts,View,"{""(datid,oid)"",""(datname,name)"",""(confl_tablespace,bigint)"",""(confl_lock,bigint)"",""(confl_snapshot,bigint)"",""(confl_bufferpin,bigint)"",""(confl_deadlock,bigint)""}"
9.1,pg_stat_replication,View,"{""(procpid,integer)"",""(usesysid,oid)"",""(usename,name)"",""(application_name,text)"",""(client_addr,inet)"",""(client_hostname,text)"",""(client_port,integer)"",""(backend_start,\""timestamp with time zone\"")"",""(state,text)"",""(sent_location,text)"",""(write_location,text)"",""(flush_location,text)"",""(replay_location,text)"",""(sync_priority,integer)"",""(sync_state,text)""}"
9.1,pg_stat_sys_indexes,View,"{""(relid,oid)"",""(indexrelid,oid)"",""(schemaname,name)"",""(relname,name)"",""(indexrelname,name)"",""(idx_scan,bigint)"",""(idx_tup_read,bigint)"",""(idx_tup_fetch,bigint)""}"
9.1,pg_stat_sys_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(seq_scan,bigint)"",""(seq_tup_read,bigint)"",""(idx_scan,bigint)"",""(idx_tup_fetch,bigint)"",""(n_tup_ins,bigint)"",""(n_tup_upd,bigint)"",""(n_tup_del,bigint)"",""(n_tup_hot_upd,bigint)"",""(n_live_tup,bigint)"",""(n_dead_tup,bigint)"",""(last_vacuum,\""timestamp with time zone\"")"",""(last_autovacuum,\""timestamp with time zone\"")"",""(last_analyze,\""timestamp with time zone\"")"",""(last_autoanalyze,\""timestamp with time zone\"")"",""(vacuum_count,bigint)"",""(autovacuum_count,bigint)"",""(analyze_count,bigint)"",""(autoanalyze_count,bigint)""}"
9.1,pg_stat_user_functions,View,"{""(funcid,oid)"",""(schemaname,name)"",""(funcname,name)"",""(calls,bigint)"",""(total_time,bigint)"",""(self_time,bigint)""}"
9.1,pg_stat_user_indexes,View,"{""(relid,oid)"",""(indexrelid,oid)"",""(schemaname,name)"",""(relname,name)"",""(indexrelname,name)"",""(idx_scan,bigint)"",""(idx_tup_read,bigint)"",""(idx_tup_fetch,bigint)""}"
9.1,pg_stat_user_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(seq_scan,bigint)"",""(seq_tup_read,bigint)"",""(idx_scan,bigint)"",""(idx_tup_fetch,bigint)"",""(n_tup_ins,bigint)"",""(n_tup_upd,bigint)"",""(n_tup_del,bigint)"",""(n_tup_hot_upd,bigint)"",""(n_live_tup,bigint)"",""(n_dead_tup,bigint)"",""(last_vacuum,\""timestamp with time zone\"")"",""(last_autovacuum,\""timestamp with time zone\"")"",""(last_analyze,\""timestamp with time zone\"")"",""(last_autoanalyze,\""timestamp with time zone\"")"",""(vacuum_count,bigint)"",""(autovacuum_count,bigint)"",""(analyze_count,bigint)"",""(autoanalyze_count,bigint)""}"
9.1,pg_stat_xact_all_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(seq_scan,bigint)"",""(seq_tup_read,bigint)"",""(idx_scan,bigint)"",""(idx_tup_fetch,bigint)"",""(n_tup_ins,bigint)"",""(n_tup_upd,bigint)"",""(n_tup_del,bigint)"",""(n_tup_hot_upd,bigint)""}"
